"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-504",-0.582838993431415,6.0075281875,-9.25389859575515,1.82816012098377e-18,9.76237504605334e-16,31.2343238506125
"hsa-miR-222",1.63764179085655,9.69544556521739,7.57676896915127,2.91286513433651e-13,7.77734990867848e-11,19.6201284460359
"hsa-miR-34a",1.52319246978456,10.0982626413043,7.30105611300842,1.78568281953406e-12,3.17851541877062e-10,17.86708569937
"hsa-miR-155",1.2250341849711,8.54202694565217,7.15238866375176,4.65364187431976e-12,6.21261190221689e-10,16.9418188905014
"hsa-miR-148a",1.49588164844981,8.38300566847826,6.83020691422957,3.53150225519327e-11,3.77164440854642e-09,14.9861453123284
"hsa-miR-221",1.03808407120337,7.8016089701087,6.54751418550656,1.97489873838228e-10,1.75765987716023e-08,13.3275833922988
"hsa-miR-340",-0.433514609563837,6.57391920652174,-5.96260027788976,5.83527012369729e-09,4.45147749436336e-07,10.0737335504835
"hsa-miR-128a",-0.782386260115599,7.18927333152174,-5.6879172969907,2.62930678956775e-08,1.75506228203647e-06,8.63170955897849
"hsa-miR-34b",1.00240063084604,7.89648805163043,5.63015225008028,3.58306939833519e-08,2.12595450967888e-06,8.33566278909213
"hsa-miR-153",-0.226991559379922,5.85702949728261,-5.39068246630194,1.25864496922677e-07,6.72116413567094e-06,7.1355635650901
"hsa-miR-128b",-0.872460314503412,7.59220500271739,-5.30866134692487,1.91629255258981e-07,9.30272930075419e-06,6.73470298778181
"hsa-miR-24",0.49847991460852,11.5648833940217,4.96062735266928,1.07668035177201e-06,4.79122756538546e-05,5.0927195116008
"hsa-miR-339",0.593574656332111,8.00687539673913,4.90994277687701,1.37353223784508e-06,5.64204780776365e-05,4.86166413974275
"hsa-miR-301",-0.739051173935882,8.35184586956522,-4.88345416173487,1.55868237510848e-06,5.9452599164852e-05,4.74173639620685
"hsa-miR-98",-0.561270627955865,7.87610304891304,-4.8527823783021,1.80322222845357e-06,6.41947113329469e-05,4.60357947494944
"hsa-miR-374",-0.667220088018912,8.47742816032609,-4.76522899418776,2.72232118404936e-06,9.08574695176474e-05,4.21341620931974
"hsa-miR-181c",-0.653431732002096,8.35844107608696,-4.57397322259157,6.55386255702658e-06,0.000205868388556012,3.38298455540332
"hsa-miR-101",-0.623370111403046,10.2764534891304,-4.55953549965868,6.99494397023279e-06,0.000207516671116906,3.32152262071507
"hsa-miR-768-3p",-0.568941192327898,10.0006130054348,-4.40230193439997,1.40641164368771e-05,0.000395275693541704,2.66342368496649
"hsa-miR-768-5p",-0.537621765895958,8.42343166576087,-4.32940643138075,1.93101690359538e-05,0.000515581513259966,2.36535435413349
"hsa-miR-17-3p",-0.52672441303205,7.79099122826087,-4.29049621024003,2.28298925242589e-05,0.000580531552759726,2.20808658245099
"hsa-miR-551b",-0.519139030478191,7.35645986413043,-4.27695928320514,2.41922684214474e-05,0.000587212333502405,2.1536733856187
"hsa-miR-545",-0.0986686085128721,5.9072499673913,-4.25470923613346,2.66017670222808e-05,0.00061762363434339,2.06457444771064
"hsa-miR-22",0.617064837099326,11.5264603641304,4.20938432254126,3.22375591627483e-05,0.000717285691371149,1.88437475963308
