NS	X12.1	X34.1	X40.1	X66.1	X79.1	X102.1	X115.1	X122.1	HD1.2	HD2.2	HD3.2	HD4	X132.1	X138.1	X141.1	X151.1	X155.1	X160.1	X169.1	X174.1	HD005	VBDR410	VBDR411	VBDR414	X183.1	X190.1	X195.1	X213.1	X224.1	X232.1	VBDR.429	VBDR.43	VBDR.436	VBDR.440	VBDR.443	VBDR.453	X239.1	X247.1	X252.1	X257.1	X264.1	X272.1	X278.1	X285.1	X293.1	VBDR.454	VBDR.457	VBDR.458
hsa-let-7a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.285402219	1.584962501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7b-5p	0.912248276	1.546417987	1.384531487	1.113726386	0.977815751	1.10150376	0.841401533	1.003708163	1.376940113	1.434613563	1.10883376	0.447175404	0.770059498	2.088903712	0.996072005	0.927310274	0.54201171	1.129758833	0.23313125	0.577849104	1.858986681	0.325026509	0.645722134	0.635138419	1.925670639	1.654604992	1.55738258	1.740861316	2.496075445	2.182966308	0.771290971	1.324108565	1.079530266	0.904399282	0.579015943	0.669568518	1.62190413	1.193220892	1.252275287	1.123398277	1.10193021	0.448588692	0.823510441	0.892011542	1.628001583	1.421332187	1.228054063	1.094945072
hsa-let-7c-5p	1.84103536	2.516698191	2.4110387	2.231970593	1.580228754	1.815508661	2.213621606	1.917876155	2.119998287	1.963258231	2.242804706	1.943243227	1.972798843	2.233353023	1.612469319	1.661695134	1.513932131	1.187925328	1.786638749	2.116643945	2.177586879	1.434898312	1.247336349	0.583902114	2.018997791	2.096672585	2.234424269	2.218468716	1.902319167	2.193161773	2.172611013	1.998085429	1.733919575	2.084075625	2.213283413	1.516291413	1.40717477	2.374856671	1.92552091	1.944082934	2.387436266	2.377250656	1.674912258	1.872584602	2.148048887	2.46726657	1.932347783	2.208850413
hsa-let-7d-5p	1.876574482	2.18865071	1.896253415	1.150309435	2.135174992	2.255109314	1.763826672	1.976378172	1.541800052	0.968037121	1.545233764	1.825891124	2.108779101	2.195227492	1.824775043	1.947887172	1.734759071	1.583210561	1.867040844	1.740773729	2.562088595	2.247239553	1.724905617	1.468493605	1.276673378	2.213281218	2.152134137	1.218975232	1.796754431	1.952533977	2.543401391	1.546038467	2.181820596	2.007619143	1.712449717	2.27401704	2.038910471	2.326910509	2.517881969	2.400681666	2.109761247	2.109472583	1.687286479	2.196491821	1.937656219	1.935899699	2.069830973	1.793189412
hsa-let-7e-5p	2.83874599	2.786713713	2.673432111	2.126897954	1.721037742	2.780312521	2.342548291	1.954197307	2.741034709	2.455629561	3.083347139	3.142699911	2.004374215	2.312105468	2.382336131	2.387144266	2.243512343	1.980169107	3.245363493	2.750141251	3.007087868	2.325333009	2.206280674	1.315505452	2.005187572	1.658459534	2.172625291	2.364492765	2.274810923	1.808951966	2.587462682	2.416023269	2.242174049	1.250427288	2.757137561	2.474251672	2.136835467	2.547135619	2.100053213	2.399494585	2.805150675	2.795516828	1.856465868	2.578551869	2.543115646	3.388957411	2.203865718	3.003084349
hsa-let-7f-5p	-2.762499222	-2.760873811	-3.257311861	-2.889370823	-2.964000437	-3.190317865	-1.89556158	-2.528651563	-3.000666654	-2.500192498	-2.561329516	-3.41875381	-2.93687777	-3.27920029	-2.62981259	-2.943165036	-2.732297374	-2.361988187	-2.652067856	-3.131140246	-2.550474837	-2.662009113	-2.524838861	-3.769819023	-2.813915022	-2.927790507	-3.827585167	-3.314428448	-3.959979376	-3.137891597	-3.043793925	-2.771441053	-2.306190145	-3.055238727	-2.424164786	-2.651743759	-2.845231346	-3.567586149	-3.231167741	-2.295202007	-2.230455754	-2.65397359	-3.377080893	-2.872715949	-2.645078573	-3.104826669	-3.743939954	-2.991271073
hsa-let-7g-5p	0.678501798	-0.200913837	-0.044955859	0.394218544	-0.066603596	-0.234305121	0.738955371	0.769750275	-0.134735328	-1.042854907	-0.269717416	0.331745349	0.840335077	0.900750787	0.360651659	0.542446613	0.391973901	-0.213406982	0.303720758	0.338279745	1.683328378	0.190700669	0.207471214	0.496065755	-0.547563681	0.521863266	-0.165606121	-0.583834931	-0.338782738	-0.082285944	-0.107815923	0.069173031	-0.556481584	0.343218106	0.214060324	-0.255220762	0.070318768	-0.019847673	-0.543987734	0.243128928	0.081668866	0.610930537	-0.220651245	0.027269971	0.866559964	0.42341794	0.299068792	0.112892869
hsa-let-7i-5p	1.511130371	1.41705466	1.92904816	1.626089386	1.501386072	1.360008061	0.894460424	1.671087103	1.718320024	1.336664314	1.649868414	1.57817268	1.856430846	1.227179948	1.298912655	1.283138169	1.445308807	1.385165103	1.640662865	1.542811722	2.50444939	1.631920928	2.010080433	1.540719336	1.575780158	1.313042889	1.868578164	1.055731678	1.756233744	1.582728369	1.899170237	1.647646362	2.103289394	1.51477088	1.790919562	0.99776947	1.64168971	1.311948498	1.806632447	1.44957493	1.653812829	1.572015275	1.606205219	1.44941579	2.070840189	2.114114055	1.599700573	2.044863995
hsa-miR-1-3p	-0.594668531	-1.04861166	-0.541979746	-0.936362869	-1.002155328	-0.47857926	-1.457178675	-0.705474243	-0.759659103	-0.383631004	-0.220386128	-0.830267994	-0.774656397	-0.470057598	-0.423681578	-0.835869512	-1.019971591	-1.276324895	-1.230187271	-0.978718318	-1.62215655	-1.477309334	-0.882245175	0.348499163	-0.457784413	-0.386172326	-1.294067361	-0.797710126	-0.578743035	-0.94664351	-0.939607047	-1.276621055	-0.215740896	-0.859116826	-1.708080752	-0.6058691	-0.859474195	-1.24120669	-1.010817329	-1.04089875	-1.448499228	-0.570477752	-0.386521405	-0.36282876	-1.269976483	-1.108582769	-0.316944284	-0.95937746
hsa-miR-1-5p	-2.449799878	-3.247530479	-2.192985102	-2.542108474	-2.932870939	-2.829686068	-2.413287038	-2.759781295	-3.19526944	-2.914751778	-2.677278771	-4.054472207	-2.193685661	-2.766791201	-2.812188973	-2.288756808	-2.99668011	-2.460066531	-2.772209016	-2.272653312	-1.878441443	-2.714312525	-2.952945346	-3.105381288	-2.600950161	-2.412812627	-2.73730484	-4.04936856	-3.00006023	-2.303198017	-1.823835965	-2.856146769	-2.57223138	-1.920473233	-2.231794482	-4.530246995	-3.069955623	-3.461460069	-2.374781935	-2.11485499	-3.10096993	-3.170388882	-1.715872215	-2.965075288	-1.936588144	-1.577960763	-4.344448331	-1.92444294
