"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-451a",-1.71628996718403,6.54686603243243,-3.72954477055249,0.000373251788111651,0.139517648477612,-0.0278080482820879
"hsa-miR-219a-1-3p",0.370393274784922,-0.206075648216216,3.6362124130548,0.000508460749913598,0.139517648477612,-0.281900216170686
"hsa-miR-218-5p",-0.397157182631187,2.18292999864865,-3.57903702875814,0.000613079512595073,0.139517648477612,-0.435471557851526
"hsa-miR-26b-5p",-0.458816648684405,0.0327123885135135,-3.53848677420527,0.000699336583847679,0.139517648477612,-0.543406772312776
"hsa-miR-224-5p",0.266862149371767,1.6975502472973,3.38386221438344,0.00114574061358137,0.182860201927587,-0.947292957759442
"hsa-miR-223-3p",-1.10516901439024,1.57679777283784,-3.22819032082489,0.0018578391157141,0.202267210952293,-1.34113579569162
"hsa-miR-549a",0.36428870593496,0.424816642297297,3.19273525943218,0.00206996533027708,0.202267210952293,-1.42897742635265
"hsa-miR-1285-5p",0.234811615668886,2.0483227027027,3.18331441185964,0.00213002816260203,0.202267210952293,-1.45219975239696
"hsa-miR-29b-3p",-0.431779222926829,0.424909218918919,-3.16065885616727,0.0022812091460785,0.202267210952293,-1.50784086943723
"hsa-miR-491-3p",-0.370404397133777,0.504232841810811,-3.10774250965304,0.00267425165150543,0.213405281790134,-1.63666553019334
"hsa-miR-181b-2-3p",-0.18365196489283,1.10904345810811,-3.00843566123889,0.00358735648718013,0.235769802174642,-1.87406149233763
"hsa-miR-1248",-0.296439015971915,-0.242016232027027,-2.96854293392044,0.00402977846979735,0.235769802174642,-1.96779298433057
"hsa-miR-548d-5p",0.217906060753881,0.7675889,2.95787245609849,0.0041564055709468,0.235769802174642,-1.99270331280344
"hsa-miR-1290",0.401102021537327,1.49915828675676,2.95473961512588,0.00419427673219322,0.235769802174642,-2.00000399899918
"hsa-miR-150-5p",-0.79129486045824,1.82816354054054,-2.9356706492233,0.00443176319877147,0.235769802174642,-2.04431453168569
"hsa-miR-651-3p",0.355749240206946,-2.2259077027027,2.89992033063955,0.00491081618314039,0.238205091776275,-2.12679531139293
"hsa-miR-148a-3p",-0.377072473510717,0.289606598378378,-2.87374052519531,0.00529145772550185,0.238205091776275,-2.18670215334611
"hsa-miR-21-5p",-0.325221977937916,0.503882377162162,-2.84653883134868,0.00571560885991513,0.238205091776275,-2.24850189353569
"hsa-miR-191-5p",-0.451763085735402,2.65555422972973,-2.8405289455072,0.00581344388608972,0.238205091776275,-2.26209424582818
"hsa-miR-452-5p",-0.354493617213599,0.642606098783784,-2.83047332853164,0.00598059039992878,0.238205091776275,-2.28478668048136
"hsa-miR-2116-5p",0.44197837346637,-2.39826465810811,2.81374005627744,0.00626855504674409,0.238205091776275,-2.32240936870706
"hsa-miR-23a-3p",-0.734472132742052,2.31287713243243,-2.78756242832469,0.00674467846976711,0.244647882676098,-2.38091619883632
"hsa-miR-5010-5p",0.33474530862306,-0.2049667755,2.72356131635914,0.00805161184999928,0.266558609814987,-2.52214179119632
"hsa-miR-302a-3p",-0.303146161951958,0.873815715121622,-2.71787968634095,0.00817815868777692,0.266558609814987,-2.53455332274919
"hsa-miR-1299",-0.263194442645972,1.24720674189189,-2.71025516379506,0.0083508336408204,0.266558609814987,-2.55117670797877
"hsa-miR-597-5p",0.257729389578716,1.78945289594595,2.67694644404568,0.00914487994815635,0.2747288858943,-2.62336103811872
"hsa-miR-429",-0.204711971546194,-0.452599482675676,-2.64680844759798,0.00992196464433803,0.2747288858943,-2.6880574016328
"hsa-miR-337-3p",0.231771293111604,1.06134924513514,2.6442824670649,0.00998974702991209,0.2747288858943,-2.69345310151474
"hsa-miR-3065-5p",0.497289255728006,-5.45019006756757,2.63414517957598,0.010266025493993,0.2747288858943,-2.71506540972031
"hsa-miR-30a-3p",-0.237737826533628,1.57370085810811,-2.62149277687119,0.0106205779309798,0.2747288858943,-2.74194584984254
"hsa-miR-144-3p",-0.629425738824833,1.03569669959459,-2.6196747977243,0.0106724253918839,0.2747288858943,-2.74579961280913
"hsa-miR-370-5p",-0.269816638580929,2.58905372972973,-2.57176894946641,0.0121241202157373,0.30234524787995,-2.84656876802644
"hsa-miR-19b-3p",-0.455297833318552,0.195020354594595,-2.55404770595309,0.0127048589458166,0.306628426321783,-2.88346129720337
