"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-491-5p",0.294011956663865,-0.9113534733,3.15990151361712,0.002148998642586,0.968234464742539,-2.01447392362742
"hsa-miR-628-3p",0.218281142936975,0.450717250966667,2.78166954314912,0.00658566293479736,0.968234464742539,-2.6806349720095
"hsa-miR-302c-3p",-0.17355211942647,1.44684647624444,-2.70058987294253,0.00826754402677638,0.968234464742539,-2.81485494227715
"hsa-miR-6511a-3p",-0.286153979127102,-1.75261321653333,-2.66868670207609,0.00903023754179736,0.968234464742539,-2.86680061334857
"hsa-miR-1246",0.464691510405462,-2.62216851281111,2.63877871687247,0.00980266724740352,0.968234464742539,-2.91504760947723
"hsa-miR-5010-5p",0.293203866961135,-0.1441913394,2.56450214691145,0.0119863144885198,0.968234464742539,-3.0329641263948
"hsa-miR-3690",0.217683793290967,0.750200269455556,2.42585653850376,0.0172645905088596,0.968234464742539,-3.24565946835093
"hsa-miR-765",-0.210309320364495,-1.17665199071111,-2.41535142148214,0.0177385917933433,0.968234464742539,-3.26137521340688
"hsa-miR-3605-3p",-0.221657187415967,-1.62920908083333,-2.40780335073202,0.0180862915484025,0.968234464742539,-3.27263198468197
"hsa-miR-504-5p",0.188552288996848,-1.4168192195,2.36779461292585,0.0200325261231405,0.968234464742539,-3.33180507650987
"hsa-miR-181a-2-3p",0.230887394894958,1.75450605988889,2.35271359324892,0.020813053230024,0.968234464742539,-3.35389340220192
"hsa-miR-208b-5p",0.242931943394957,1.10114906815556,2.33242734458522,0.0219054393097191,0.968234464742539,-3.38341749115525
"hsa-miR-554",0.334988976254201,-1.40329948557778,2.32752982448236,0.0221766468996722,0.968234464742539,-3.39051279739662
"hsa-miR-640",0.147880954400209,2.54845199281111,2.31908098704276,0.0226514980413108,0.968234464742539,-3.40272338138565
"hsa-miR-495-3p",-0.213073504627101,-0.387633740277778,-2.29557183024685,0.0240203800000782,0.968234464742539,-3.43650124288354
"hsa-miR-3916",-0.284240683470588,1.00983242874444,-2.29367475824505,0.0241339584471483,0.968234464742539,-3.43921418542975
"hsa-miR-379-5p",0.16155654337395,2.39990634115556,2.28724735696735,0.0245222960169793,0.968234464742539,-3.4483916083835
