"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-1245b-5p",-0.453663160868687,-0.0832494482068965,-3.26232967351308,0.00284479280611426,0.988851430081525,-3.01479232061681
"hsa-miR-509-5p",0.423851766363637,0.140802209655172,2.98458444987848,0.00573982708655723,0.988851430081525,-3.26041439797718
"hsa-miR-3190-3p",-0.576681678888889,0.0341181724137931,-2.87834344792227,0.00746111087076993,0.988851430081525,-3.35314312151266
"hsa-miR-423-5p",0.350477838383838,2.00428175862069,2.80798983292302,0.00885775919055452,0.988851430081525,-3.41404571069706
"hsa-miR-1305",0.73126325909091,1.62133666896552,2.80564828255009,0.00890822528977053,0.988851430081525,-3.41606508037423
"hsa-miR-3131",-0.425017814040404,-0.16734582137931,-2.79999876520956,0.00903110070412929,0.988851430081525,-3.42093515509751
"hsa-miR-626",-0.326945512121212,0.169034771724138,-2.78615463687319,0.00933897090512516,0.988851430081525,-3.43285650762389
"hsa-miR-612",-0.217814691919191,3.55404468965517,-2.64490790063738,0.0130943271259939,0.988851430081525,-3.55336256838541
"hsa-miR-513c-5p",-0.36655195050505,1.59095883103448,-2.61723502108905,0.0139783013068446,0.988851430081525,-3.57671058811921
"hsa-miR-30b-5p",-0.26355382020202,1.22132792068966,-2.59863156852185,0.0146033874834968,0.988851430081525,-3.5923543015099
"hsa-miR-1296-5p",-0.368670318686869,-1.21793373793103,-2.50383802808238,0.0182104128806425,0.988851430081525,-3.67137373145637
"hsa-miR-1287-5p",-0.182035077272726,1.23216216206897,-2.45240062071873,0.0204955403908348,0.988851430081525,-3.71373393306627
"hsa-miR-3195",0.574491675959596,-0.548828492068966,2.44447484960557,0.0208701904250477,0.988851430081525,-3.72022669962162
"hsa-miR-450a-2-3p",0.434786331818183,1.53410580344828,2.40421297090369,0.0228721447076,0.988851430081525,-3.75306226345177
"hsa-miR-222-3p",0.534649945454546,1.37217835517241,2.39349547423967,0.0234338794201037,0.988851430081525,-3.76176068303915
"hsa-miR-200c-3p",-0.210578693585859,-0.283501319655172,-2.36464258433758,0.0250093144807158,0.988851430081525,-3.78508720528452
"hsa-miR-331-3p",-0.295613637373739,-1.37626885517241,-2.36396470767148,0.0250474624355658,0.988851430081525,-3.78563363079457
"hsa-miR-630",0.783478356060607,1.52888756206897,2.35313262385704,0.0256642792240082,0.988851430081525,-3.79435501263448
"hsa-miR-541-3p",0.209364728787879,0.709259124137931,2.33968348539246,0.0264493477983392,0.988851430081525,-3.80515659040732
"hsa-miR-378f",-0.498764905050505,1.44824508965517,-2.32055753096792,0.0276034134440047,0.988851430081525,-3.82046537419466
"hsa-miR-504-5p",0.402603392929293,-1.43982757931034,2.30345642268135,0.0286738017349893,0.988851430081525,-3.83410078213937
"hsa-miR-548b-3p",-0.25949877340404,0.286955473,-2.29303392146322,0.02934447587075,0.988851430081525,-3.84238631352378
"hsa-miR-584-5p",-0.211193518131313,0.224271391034483,-2.28709198786178,0.0297331577930427,0.988851430081525,-3.84710146629775
"hsa-miR-568",0.247993112121212,1.1152503862069,2.26992221744974,0.030882604437352,0.988851430081525,-3.86069135648278
"hsa-miR-4435",-0.29122393939394,-2.6103635862069,-2.19865042455022,0.0360948318293052,0.988851430081525,-3.91653065472524
"hsa-miR-764",-0.29580395959596,2.84456627586207,-2.18884950187429,0.0368702583935002,0.988851430081525,-3.92413502759776
"hsa-miR-1202",-0.200852933434343,0.623387493448276,-2.15449836904496,0.0397072232528287,0.988851430081525,-3.9506406240602
"hsa-miR-215-5p",-0.245399452525253,0.795793737931034,-2.12641627038875,0.0421696284004406,0.988851430081525,-3.97213560276731
"hsa-miR-767-5p",-0.323927244040404,-0.139943702413793,-2.12141322767588,0.0426223291484404,0.988851430081525,-3.97594841243215
"hsa-miR-1257",0.162255776767677,0.340910972413793,2.11827067913238,0.0429088897312575,0.988851430081525,-3.97834073595406
"hsa-miR-548j-3p",0.483379284848485,-2.06464090344828,2.11111950496745,0.0435673827383848,0.988851430081525,-3.98377717133234
"hsa-miR-891b",-0.193392271616162,0.703964709655172,-2.0998671883255,0.0446217120579495,0.988851430081525,-3.99231005258801
"hsa-miR-592",0.169468055555556,1.37360593103448,2.09829568675021,0.0447707489822387,0.988851430081525,-3.99349967202648
"hsa-miR-512-5p",0.341491091919192,1.03599564827586,2.04849803651688,0.0497278886471127,0.988851430081525,-4.03092702139485
"hsa-miR-373-3p",0.211644808080809,1.85138662068966,2.03302105104517,0.0513643188535652,0.988851430081525,-4.04245108511473
"hsa-miR-660-5p",0.453275629949495,0.103304338275862,2.01177189518343,0.0536882599499307,0.988851430081525,-4.0581875056123
"hsa-miR-615-3p",-0.308081501515151,1.50610838275862,-2.00476686101077,0.0544743754636347,0.988851430081525,-4.06335325328993
"hsa-miR-576-3p",0.288077738383838,-1.78761414482759,2.00099508851607,0.0549018211263229,0.988851430081525,-4.06613014019299
"hsa-miR-506-3p",0.29129350959596,1.4636773137931,1.99325609597088,0.0557880861874817,0.988851430081525,-4.0718178003228
"hsa-miR-578",-0.305172579131313,0.155866232,-1.98771855424306,0.0564299174319707,0.988851430081525,-4.07587924078597
