NS	IDHstatus
X7	wildtype
X10	mutant
X12	wildtype
X24	wildtype
X26	wildtype
X34	wildtype
X35	mutant
X36	mutant
X40	mutant
X43	mutant
X63	mutant
X66	mutant
X69	mutant
X71	wildtype
X79	mutant
X83	mutant
X91	wildtype
X102	wildtype
X106	wildtype
X112	mutant
X115	mutant
X119	mutant
X121	mutant
X122	mutant
X123	wildtype
X127	wildtype
X132	wildtype
X134	mutant
X136	mutant
X138	mutant
X139	wildtype
X140	mutant
X141	mutant
X143	wildtype
X146	mutant
X151	wildtype
X152	mutant
X154	mutant
X155	wildtype
X156	mutant
X159	mutant
X160	mutant
X162	wildtype
X164	mutant
X169	wildtype
X170	mutant
X171	wildtype
X174	mutant
X176	mutant
X182	mutant
X183	mutant
X185	mutant
X188	mutant
X190	wildtype
X192	mutant
X194	mutant
X195	mutant
X204	wildtype
X209	mutant
X213	wildtype
X219	wildtype
X221	mutant
X224	wildtype
X227	wildtype
X231	mutant
X232	wildtype
X233	wildtype
X237	mutant
X239	mutant
X241	mutant
X246	mutant
X247	mutant
X249	mutant
X250	mutant
X252	mutant
X256	wildtype
X257	mutant
X258	mutant
X261	wildtype
X264	mutant
X269	wildtype
X271	mutant
X272	wildtype
X273	wildtype
X275	mutant
X278	wildtype
X282	mutant
X283	wildtype
X285	mutant
X293	mutant
